javacpu,cpu_percent,loadavg,javamem,freeram,usedram,u_disk,f_disk,errin,errout,dropin,dropout,qoe_sessions_min,cpe_data_serial,qoedb_size,timestamp
0,13.4,0.0,0.0,6.65,8.73,326.04,143.93,0,0,0,0,0.0,0,0.0,2021_11_08_19_25_44
0,9.0,0.6666666666666667,0.0,6.79,8.58,326.04,143.93,0,0,0,0,0.0,0,0.0,2021_11_08_19_26_57
0,8.9,5.833333333333333,0.0,6.89,8.49,326.04,143.93,0,0,0,0,0.0,0,0.0,2021_11_08_19_27_45
0,11.1,1.7499999999999998,0.0,6.71,8.66,326.04,143.93,0,0,0,0,0.0,0,0.0,2021_11_08_19_28_57
0,11.2,5.25,0.0,6.78,8.59,326.04,143.93,0,0,0,0,0.0,0,0.0,2021_11_08_19_29_45
0,7.6,2.2500000000000004,0.0,6.79,8.58,326.04,143.93,0,0,0,0,0.0,0,0.0,2021_11_08_19_30_57
0,6.6,4.083333333333333,0.0,6.76,8.61,326.04,143.93,0,0,0,0,0.0,0,0.0,2021_11_08_19_31_45
0,9.0,15.916666666666664,0.0,6.6,8.78,326.04,143.93,0,0,0,0,0.0,0,0.0,2021_11_08_19_32_57
0,10.0,1.6666666666666667,0.0,6.6,8.78,326.04,143.93,0,0,0,0,0.0,0,0.0,2021_11_08_19_33_45
0,9.8,4.25,0.0,6.28,9.09,326.04,143.93,0,0,0,0,0.0,0,0.0,2021_11_08_19_34_57
